         15965678 function calls (15963447 primitive calls) in 6.718 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      149    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:156(__enter__)
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       48    0.000    0.000    0.000    0.000 linalg.py:2104(det)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      177    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
    218/1    0.000    0.000    0.147    0.147 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
       46    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7ff23e4e84c0}
      133    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        2    0.000    0.000    0.006    0.003 function_base.py:1(<module>)
        1    0.000    0.000    0.007    0.007 defchararray.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2514(extend_all)
       28    0.000    0.000    0.010    0.000 sre_compile.py:759(compile)
      114    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
      309    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      316    0.000    0.000    0.000    0.000 overrides.py:141(array_function_dispatch)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.008    0.008 fromnumeric.py:1(<module>)
       28    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
      413    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      309    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      361    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
      345    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.022    0.022 multiarray.py:1(<module>)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 pathlib.py:653(PurePath)
       69    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
      250    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      217    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      472    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 random.py:101(Random)
       28    0.000    0.000    0.006    0.000 sre_parse.py:937(parse)
       24    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
        2    0.000    0.000    0.011    0.006 shape_base.py:1(<module>)
      298    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 datetime.py:1214(IsoCalendarDate)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
        1    0.000    0.000    0.008    0.008 linalg.py:1(<module>)
        2    0.000    0.000    0.003    0.002 polynomial.py:1(<module>)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
        1    0.000    0.000    0.001    0.001 sol4.py:8(generate_rotations)
      325    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:365(<dictcomp>)
       53    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      164    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       34    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      283    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7ff23e1eca60}
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
       28    0.000    0.000    0.000    0.000 enum.py:977(__and__)
      143    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:545(<listcomp>)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       82    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
    36/26    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      107    0.000    0.000    0.001    0.000 re.py:188(match)
       47    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
      201    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      114    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.004    0.004 scimath.py:1(<module>)
       48    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        8    0.000    0.000    0.001    0.000 sol4.py:100(inverse)
        1    0.000    0.000    0.003    0.003 twodim_base.py:1(<module>)
       77    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      133    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       67    0.000    0.000    0.002    0.000 enum.py:358(__call__)
       76    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
      877    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.016    0.016 index_tricks.py:1(<module>)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
      343    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
       28    0.000    0.000    0.004    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.001    0.001 sol4.py:32(parse_input_text)
       37    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       35    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       10    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       13    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.002    0.002 nanfunctions.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
      373    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:62(<genexpr>)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
      148    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
