434
11906
         23381207 function calls (23378973 primitive calls) in 28.024 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1102    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
      284    0.000    0.000    0.001    0.000 function_base.py:461(_add_docstring)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
       28    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
     1771    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
     1011    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      820    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
4503/4336    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      616    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        7    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     1629    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
   194/65    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      572    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
       10    0.000    0.000    0.001    0.000 extras.py:235(__init__)
     1520    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       24    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
       10    0.000    0.000    0.001    0.000 extras.py:239(getdoc)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:757(create_module)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
      596    0.001    0.000    0.001    0.000 {built-in method builtins.sum}
       13    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
     3044    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 sol2.py:7(generate_rotations)
      107    0.000    0.000    0.001    0.000 re.py:188(match)
      616    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
